id,tenant_id,area_id,title,description,created_by,created_at,updated_at,quarter,priority,status,progress,target_date,metrics,start_date,end_date
238a63f1-0518-41d1-b4b2-d4fe815d6bf4,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a24,Incrementar Ventas de Paquetes Turísticos 30%,Aumentar las ventas de paquetes turísticos en un 30% mediante expansión a nuevos mercados y optimización de canales digitales,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-08-11 18:35:07.073175+00,2025-08-13 02:48:42.552144+00,Q1,high,in_progress,75,2025-03-31,"[""Ventas mensuales"", ""Conversión digital"", ""Nuevos clientes"", ""Ticket promedio""]",2025-01-01,2025-03-31
29450141-0bbf-4e58-bde7-c8ebb61233dd,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,c3667e51-d5f4-4850-8540-2ce5d7469b6a,Alcanzar 50K Seguidores en Redes,"Crecer la base de seguidores en redes sociales a 50,000 personas",dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-08-12 05:55:50.951079+00,2025-08-13 02:48:42.552144+00,,medium,in_progress,82,2025-03-31,[],2025-08-12,2025-03-31
36aeb011-acd4-4753-b8c2-6059dfcb3300,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,eef76b1e-ceef-4210-883a-f9b053d212ad,Establecer 10 Alianzas Estratégicas,Crear partnerships con hoteles boutique y aerolíneas regionales,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-08-12 05:55:50.951079+00,2025-08-13 02:48:42.552144+00,,medium,planning,12,2025-09-30,[],2025-08-12,2025-09-30
4b415840-7dbe-4a91-938a-f4c1ba3fdd8c,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,4913f197-6146-43a4-8e79-1fdea56aec1c,Optimizar Cadena de Suministros,Mejorar eficiencia operativa y reducir costos en 15%,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-08-12 05:55:50.951079+00,2025-08-13 02:48:42.552144+00,,medium,planning,8,2025-06-30,[],2025-08-12,2025-06-30
7da2e929-253a-4836-b60e-55636d5692ce,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,a4dfc8c8-6e54-4ae8-b98d-a248ca0d0966,Implementar Nueva App Móvil,Desarrollar e implementar aplicación móvil para reservas y gestión de viajes,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-08-12 05:55:50.951079+00,2025-08-13 02:48:42.552144+00,,medium,planning,15,2025-06-30,[],2025-04-01,2025-06-30
cb5fcdda-9bfe-4bd0-b25e-79fc8c67cf2e,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,987ee8f4-5e87-4df8-8724-7808f2951862,Incrementar Ventas Q1 en 25%,Aumentar las ventas totales del primer trimestre en un 25% comparado con Q1 2024,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-08-12 05:55:50.951079+00,2025-08-13 02:48:42.552144+00,,medium,in_progress,78,2025-03-31,[],2025-01-01,2025-03-31
e577f1c6-283f-41e3-ab23-bb47694b933a,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,c3667e51-d5f4-4850-8540-2ce5d7469b6a,Campaña Temporada Alta,Ejecutar campaña integral para temporada alta de turismo,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-08-12 05:55:50.951079+00,2025-08-13 02:48:42.552144+00,,medium,planning,5,2025-09-30,[],2025-08-12,2025-09-30
e739dc87-1508-4f27-af07-206f2425aa52,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a27,Lanzar Línea de Experiencias Turísticas Premium,Desarrollar y lanzar una nueva línea de experiencias turísticas premium enfocadas en turismo sostenible y cultural,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-08-11 18:35:07.18312+00,2025-08-13 02:48:42.552144+00,Q1,high,in_progress,60,2025-03-31,"[""Nuevos productos lanzados"", ""Satisfacción del cliente"", ""Revenue por producto"", ""Net Promoter Score""]",2025-08-11,2025-03-31
e8f30567-4b2b-42c8-aca2-7a74f7e45b37,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,160c6aaf-7f77-4e6b-94d7-835227441cda,Lanzar 3 Nuevos Paquetes Turísticos,Desarrollar y lanzar 3 nuevos paquetes turísticos enfocados en turismo sostenible,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-08-12 05:55:50.951079+00,2025-08-13 02:48:42.552144+00,,medium,in_progress,65,2025-03-31,[],2025-04-01,2025-03-31
e93136b7-eceb-4d8d-9709-fdfae5d3c1b5,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,df73ea49-2af1-4909-8a8a-fd1bcd99137c,Mejorar NPS a 85 puntos,Incrementar el Net Promoter Score de clientes a 85 puntos o más,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-08-12 05:55:50.951079+00,2025-08-13 02:48:42.552144+00,,medium,planning,25,2025-06-30,[],2025-08-12,2025-06-30
f1eebc99-9c0b-4ef8-bb6d-6bb9bd380d01,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a24,Incrementar visibilidad de destinos,Objetivo comercial para atraer más turistas mediante publicidad digital.,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a37,2025-08-08 03:11:20.786901+00,2025-08-13 02:48:42.552144+00,,medium,planning,0,,[],2025-01-01,2025-03-31
f1eebc99-9c0b-4ef8-bb6d-6bb9bd380d02,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a27,Mejorar experiencia de usuario en la app,Objetivo de producto para optimizar la plataforma de reservas online.,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a39,2025-08-08 03:11:20.786901+00,2025-08-13 02:48:42.552144+00,,medium,planning,0,,[],2025-01-01,2025-06-30
f1eebc99-9c0b-4ef8-bb6d-6bb9bd380d03,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a29,Lanzar nueva línea de eco-iluminación,Objetivo comercial para diversificar el catálogo de productos sostenibles.,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a41,2025-08-08 03:11:20.786901+00,2025-08-13 02:48:42.552144+00,,medium,planning,0,,[],2025-01-01,2025-03-31
f1eebc99-9c0b-4ef8-bb6d-6bb9bd380d04,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a30,Optimizar la cadena de producción,Objetivo de producción para reducir tiempos y costos de fabricación.,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a42,2025-08-08 03:11:20.786901+00,2025-08-13 02:48:42.552144+00,,medium,planning,0,,[],2025-01-01,2025-06-30